25.9	1.07E+18
26	1.05E+18
26.1	1.03E+18
26.2	1.01E+18
26.3	9.82E+17
26.4	9.60E+17
26.5	9.37E+17
26.6	9.17E+17
26.7	8.98E+17
26.8	8.79E+17
26.9	8.60E+17
27	8.42E+17
27.1	8.24E+17
27.2	8.05E+17
27.3	7.87E+17
27.4	7.69E+17
27.5	7.51E+17
27.6	7.34E+17
27.7	7.17E+17
27.8	7.00E+17
27.9	6.83E+17
28	6.67E+17
28.1	6.51E+17
28.2	6.36E+17
28.3	6.22E+17
28.4	6.08E+17
28.5	5.93E+17
28.6	5.79E+17
28.7	5.64E+17
28.8	5.50E+17
28.9	5.36E+17
29	5.22E+17
29.1	5.09E+17
